row,col,has_package,UP,DOWN,LEFT,RIGHT
9,14,True,-3.32484,-3.8487,-4.44194,0.0
9,16,False,-0.41175,3.21083,0.0,-0.52137
9,16,True,-1.60151,-3.77735,0.0,-6.74083
9,17,False,0.23922,2.69292,-1.26126,0.0
9,17,True,-2.11606,-2.03078,-0.906,0.0
9,19,False,1.76624,-0.81143,0.0,11.36664
9,19,True,-1.51543,-0.43589,0.0,-1.57598
9,20,False,10.49868,0.0,3.72144,19.56432
9,20,True,-2.3382,0.0,-0.74643,-3.29152
9,21,False,22.80956,28.4779,11.47216,35.32481
9,21,True,-3.22527,-0.9,-0.24985,-1.8774
9,22,False,30.89787,35.77458,27.8391,31.07977
9,22,True,-1.05,0.20111,-1.34942,-1.74353
9,23,False,26.84135,30.50028,31.3436,0.0
9,23,True,-2.47571,-0.6943,-1.0,0.0
9,25,False,-1.85923,0.0,0.0,-0.87961
9,25,True,-2.30627,0.0,0.0,-2.32165
9,26,False,1.16965,2.75346,-0.7058,-2.15696
9,26,True,-2.71084,-0.88744,-0.87631,-1.25
9,27,False,-1.88253,5.30439,1.87443,0.0
9,27,True,-1.3,-1.2,-1.2,0.0
9,29,False,-1.59489,-2.89998,0.0,-5.48315
9,29,True,-3.49419,-1.56553,0.0,-3.20776
9,30,False,-1.59049,-1.66381,-2.23334,0.0
9,30,True,-2.95328,-0.57062,-1.41459,0.0
10,0,False,-3.5,0.0,0.0,-3.4
10,0,True,-0.3,0.0,0.0,0.33929
10,1,False,-3.45,-3.35,-3.45,0.0
10,1,True,-4.06802,0.38746,-0.25,0.0
10,3,False,0.0,-3.25,0.0,-3.25
10,3,True,0.0,59.87843,0.0,38.30802
10,4,False,0.0,-3.2,-3.3,-3.2
10,4,True,0.0,117.58523,22.82406,71.30734
10,5,False,-3.25,-3.15,-3.25,0.0
10,5,True,71.72362,117.15915,107.04174,0.0
10,7,False,-4.2789,-2.7692,0.0,-3.05
10,7,True,96.927,109.93466,0.0,97.98001
10,8,False,0.0,-2.71968,-3.1,-3.61921
10,8,True,0.0,100.91447,106.52667,67.18272
